Country,Code (alpha-3),Renewable energy production (%),Solar Photovoltaic (GWh),Solar Thermal (GWh),Onshore wind energy (GWh),Offshore wind energy (GWh),Renewable hydropower (GWh),Mixed hydro plants (GWh),Marine energy (GWh),Solid biofuels (GWh),Renewable municipal waste (GWh),Liquid biofuels (GWh),Biogas (GWh),Geothermal energy (GWh),Pumped storage (GWh),Coal and peat (GWh),Oil (GWh),Natural gas (GWh),Fossil fuels unspecified (GWh),Nuclear (GWh),Other non-renewable energy (GWh)
Afghanistan,AFG,79.48,78.786,0.0,0.123,0.0,849.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.29,0.0,18.49,0.0,0.0
Åland Islands,ALA,,,,,,,,,,,,,,,,,,,,
Albania,ALB,100.0,40.77,0.0,0.0,0.0,8921.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,DZA,0.91,642.0,118.11,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,84452.0,0.0,0.0,0.0
American Samoa,ASM,3.89,6.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.813,0.0,0.728,0.0,0.0
Andorra,AND,93.34,1.259,0.0,0.0,0.0,78.827,0.0,0.0,0.0,16.897,0.0,0.0,0.0,0.0,0.0,0.0,6.923,0.0,0.0,0.0
Angola,AGO,73.7,2.069,0.0,0.0,0.0,13801.672,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4938.083,58.081,0.0,0.0,0.0
Anguilla,AIA,2.47,2.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.812,0.0,0.0,0.0,0.0
Antarctica,ATA,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,5.66,20.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.791,0.0,0.0
Argentina,ARG,26.74,2203.869,0.0,12937.55,0.0,19445.255,0.0,0.0,3520.946,0.0,0.0,304.717,0.0,703.616,0.048,9157.031,84548.497,0.0,10830.724,0.0
Armenia,ARM,30.54,163.5,0.0,1.5,0.0,2201.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3383.7,0.0,1998.4,0.0
Aruba,ABW,14.8,23.882,0.0,133.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.612,0.0,0.0,0.0,0.0
Australia,AUS,26.5,27712.0,5.0,24535.0,0.0,14761.0,0.0,0.0,1993.0,0.0,0.0,1354.0,0.0,439.0,140311.0,4662.0,49783.0,0.0,0.0,0.0
Austria,AUT,74.56,2782.602,0.0,6740.042,0.0,38751.33,0.0,0.0,3523.401,354.487,0.169,601.601,0.031,3788.463,2157.395,709.373,10617.882,0.0,0.0,725.518
Azerbaijan,AZE,5.8,55.2,0.0,91.4,0.0,1277.3,0.0,0.0,0.0,193.2,0.0,0.0,0.0,0.0,0.0,634.9,25635.8,0.0,0.0,0.0
Bahamas,BHS,0.48,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,0.04,11.639,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33363.962,0.0,0.0,0.0
Bangladesh,BGD,1.81,612.685,0.0,5.081,0.0,734.421,0.0,0.0,1.752,0.0,0.0,2.108,0.0,0.0,5427.489,22288.782,50152.218,12187.659,0.0,0.0
Barbados,BRB,7.33,87.863,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.338,0.0,0.0,0.0,0.0
Belarus,BLR,3.37,173.8,0.0,173.0,0.0,370.0,0.0,0.0,337.1,0.0,0.0,243.7,0.0,0.0,31.0,2132.0,34686.0,0.0,338.0,14.0
Belgium,BEL,22.62,5618.1,0.0,5071.4,6926.2,418.1,0.0,0.0,2763.4,936.6,14.6,976.3,0.0,931.7,2028.1,180.8,22516.7,0.0,50326.2,1757.2
Belize,BLZ,92.86,9.779,0.0,0.035,0.0,157.326,0.0,0.0,270.239,0.0,0.0,0.0,0.0,0.0,0.0,33.627,0.0,0.0,0.0,0.0
Benin,BEN,0.22,2.837,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.565,1015.731,0.0,0.0,0.0
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,100.0,0.48,0.0,0.389,0.0,10822.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
Bolivia (Plurinational State of),BOL,38.25,350.531,0.0,119.623,0.0,3236.829,0.0,0.0,454.798,0.0,0.0,0.0,0.0,0.0,0.0,678.665,6039.012,0.0,0.0,0.0
