Country,Code (alpha-3),Renewable energy production (%),Solar Photovoltaic (GWh),Solar Thermal (GWh),Onshore wind energy (GWh),Offshore wind energy (GWh),Renewable hydropower (GWh)
Afghanistan,AFG,79.48,78.786,0.0,0.123,0.0,849.791
Åland Islands,ALA,,,,,,
Albania,ALB,100.0,40.77,0.0,0.0,0.0,8921.94
Algeria,DZA,0.91,642.0,118.11,11.0,0.0,9.0
American Samoa,ASM,3.89,6.831,0.0,0.0,0.0,0.0
Andorra,AND,93.34,1.259,0.0,0.0,0.0,78.827
Angola,AGO,73.7,2.069,0.0,0.0,0.0,13801.672
Anguilla,AIA,2.47,2.683,0.0,0.0,0.0,0.0
Antarctica,ATA,,,,,,
Antigua and Barbuda,ATG,5.66,20.251,0.0,0.0,0.0,0.0
Argentina,ARG,26.74,2203.869,0.0,12937.55,0.0,19445.255
Armenia,ARM,30.54,163.5,0.0,1.5,0.0,2201.7
Aruba,ABW,14.8,23.882,0.0,133.054,0.0,0.0
Australia,AUS,26.5,27712.0,5.0,24535.0,0.0,14761.0
Austria,AUT,74.56,2782.602,0.0,6740.042,0.0,38751.33
Azerbaijan,AZE,5.8,55.2,0.0,91.4,0.0,1277.3
Bahamas,BHS,0.48,,,,,
Bahrain,BHR,0.04,11.639,0.0,1.2,0.0,0.0
Bangladesh,BGD,1.81,612.685,0.0,5.081,0.0,734.421
Barbados,BRB,7.33,87.863,0.0,0.056,0.0,0.0
Belarus,BLR,3.37,173.8,0.0,173.0,0.0,370.0
Belgium,BEL,22.62,5618.1,0.0,5071.4,6926.2,418.1
Belize,BLZ,92.86,9.779,0.0,0.035,0.0,157.326
Benin,BEN,0.22,2.837,0.0,0.0,0.0,0.072
Bermuda,BMU,,,,,,
Bhutan,BTN,100.0,0.48,0.0,0.389,0.0,10822.292
Bolivia (Plurinational State of),BOL,38.25,350.531,0.0,119.623,0.0,3236.829
"Bonaire, Sint Eustatius and Saba",BES,24.14,8.941,0.0,28.759,0.0,0.0
Bosnia and Herzegovina,BIH,38.77,72.0,0.0,382.0,0.0,6690.0
Botswana,BWA,0.24,6.128,0.0,0.0,0.0,0.0
Bouvet Island,BVT,,,,,,
Brazil,BRA,77.37,16760.829,0.0,72285.975,0.0,362818.451
British Indian Ocean Territory,IOT,,,,,,
Brunei Darussalam,BRN,0.03,1.121,0.0,0.0,0.0,0.0
Bulgaria,BGR,21.67,1466.598,0.0,1433.561,0.0,4819.205
Burkina Faso,BFA,27.37,97.6,0.0,0.0,0.0,135.016
Burundi,BDI,61.3,2.334,0.0,0.0,0.0,270.291
Cabo Verde,CPV,18.27,6.884,0.0,73.784,0.0,0.0
Cambodia,KHM,58.95,637.227,0.0,0.3,0.0,5043.94
Cameroon,CMR,79.27,19.672,0.0,0.0,0.0,5089.9
Canada,CAN,67.45,6043.0,0.0,34753.0,0.0,382756.0
Cayman Islands,CYM,2.94,21.547,0.0,0.0,0.0,0.0
Central African Republic,CAF,96.47,,,,,
Chad,TCD,5.59,1.261,0.0,8.9,0.0,0.0
Chile,CHL,48.89,10565.366,118.556,7628.098,0.0,18072.273
China,CHN,28.18,327530.274,20.814,603534.405,52670.738,1301700.0
Christmas Island,CXR,,,,,,
Cocos (Keeling) Islands,CCK,,,,,,
Colombia,COL,75.38,529.525,0.0,60.0,0.0,60497.041
Comoros,COM,0.0,,,,,
Congo,COG,40.66,,,,,
"Congo, Democratic Republic of the",COD,,,,,,
Cook Islands,COK,21.14,,,,,
Costa Rica,CRI,99.98,107.394,0.0,1573.311,0.0,9287.359
Côte d'Ivoire,CIV,,,,,,
Croatia,HRV,69.22,148.9,0.0,2061.8,0.0,7127.7
Cuba,CUB,5.12,218.077,0.0,43.5,0.0,123.029
Curaçao,CUW,,,,,,
Cyprus,CYP,15.13,468.338,0.0,246.478,0.0,0.0
Czechia,CZE,12.59,2315.964,0.0,601.534,0.0,2408.52
Denmark,DNK,78.96,1308.929,0.0,8461.63,7592.837,16.294
Djibouti,DJI,35.35,0.6,0.0,69.4,0.0,0.0
Dominica,DMA,20.28,0.178,0.0,0.595,0.0,19.822
Dominican Republic,DOM,16.96,,,,,
Ecuador,ECU,81.0,36.87,0.0,62.011,0.0,25562.889
Egypt,EGY,12.33,4493.5,479.0,5269.445,0.0,14769.0
El Salvador,SLV,86.01,1643.19,0.0,131.785,0.0,1825.204
